State/UT,Seats,Electors,Quota,Difference
Andhra Pradesh,42,49654389,43.5201447,-1.520144698
Arunachal Pradesh,2,611572,0.536019121,1.463980879
Assam,14,14290673,12.52522021,1.474779787
Bihar,54,58788098,51.52548612,2.474513875
Goa,2,908849,0.796570873,1.203429127
Gujarat,26,29512402,25.86647487,0.133525127
Haryana,10,11038955,9.675215597,0.324784403
Himachal Pradesh,4,3786479,3.318701877,0.681298123
Jammu & Kashmir,6,5030094,4.408682155,1.591317845
Karnataka,28,34284098,30.04868121,-2.048681211
Kerala,20,22058901,19.33377054,0.666229457
Madhya Pradesh,40,46915473,41.11959113,-1.119591131
Maharashtra,48,56853196,49.82961962,-1.829619622
Manipur,2,1372339,1.202801868,0.797198132
Meghalaya,2,1178250,1.032690393,0.967309607
Mizoram,1,449406,0.393886916,0.606113084
Nagaland,1,955914,0.837821519,0.162178481
Odisha,21,24187490,21.19939618,-0.199396184
Punjab,13,15717304,13.77560691,-0.775606912
Rajasthan,25,31106488,27.26362938,-2.26362938
Sikkim,1,255377,0.223828028,0.776171972
Tamil Nadu,39,47733664,41.83670379,-2.836703785
Tripura,2,1796055,1.574172496,0.425827504
Uttar Pradesh,85,102946404,90.2285274,-5.228527395
West Bengal,42,47649856,41.76324933,0.236750674
Andaman & Nicobar,1,247384,0.216822474,0.783177526
Chandigarh,1,585006,0.512735053,0.487264947
Dadra & Nagar Haveli,1,98376,0.086222746,0.913777254
Daman & Diu,1,72216,0.063294521,0.936705479
Delhi,7,8712530,7.636194381,-0.636194381
Lakshadweep,1,37619,0.032971593,0.967028407
Pondicherry,1,701990,0.615266988,0.384733012
Total,543,619536847,543,0