States,Pop_T,Pop_M,Pop_F,Urban_T,Urban_M,Urban_F,Rural_T,Rural_M,Rural_F,Hindu_T,Hindu_M,Hindu_F,Muslim_T,Muslim_M,Muslim_F,Christian_T,Christian_M,Christian_F,Sikh_T,Sikh_M,Sikh_F,Buddhist_T,Buddhist_M,Buddhist_F,Jain_T,Jain_M,Jain_F,Other_T,Other_M,Other_F,NS_T,NS_M,NS_F,Seats
ANDAMAN & NICOBAR ISLANDS,356152,192972,163180,116198,64011,52187,239954,128961,110993,246589,134878,111711,29265,15736,13529,77178,40529,36649,1587,873,714,421,310,111,23,12,11,238,128,110,851,506,345,1
ANDHRA PRADESH,76210007,38527413,37682594,20808940,10590209,10218731,55401067,27937204,27463863,67836651,34278050,33558601,6986856,3562239,3424617,1181917,580319,601598,30998,17264,13734,32037,16342,15695,41846,21613,20233,4768,2450,2318,94934,49136,45798,42
ARUNACHAL PRADESH,1097968,579941,518027,227881,125261,102620,870087,454680,415407,379935,217195,162740,20675,12726,7949,205548,102606,102942,1865,1475,390,143028,72618,70410,216,130,86,337399,168613,168786,9302,4578,4724,2
ASSAM,26655528,13777037,12878491,3439240,1837092,1602148,23216288,11939945,11276343,17296455,8951108,8345347,8240611,4252691,3987920,986589,502756,483833,22519,13508,9011,51029,26322,24707,23957,12840,11117,22999,11795,11204,11369,6017,5352,14
BIHAR,82998509,43243795,39754714,8681800,4648799,4033001,74316709,38594996,35721713,69076919,36077374,32999545,13722048,7061908,6660140,53137,26913,26224,20780,11057,9723,18818,10220,8598,16085,8446,7639,52905,27336,25569,37817,20541,17276,40
CHANDIGARH,900635,506938,393697,808515,450122,358393,92120,56816,35304,707978,403191,304787,35548,21539,14009,7627,3947,3680,145175,76000,69175,1332,717,615,2592,1336,1256,257,136,121,126,72,54,1
CHHATTISGARH,20833803,10474218,10359585,4185747,2166775,2018972,16648056,8307443,8340613,19729670,9915670,9814000,409615,210829,198786,401035,198471,202564,69621,36662,32959,65267,32444,32823,56103,29186,26917,95187,47255,47932,7305,3701,3604,11
DADRA & NAGAR HAVELI,220490,121666,98824,50463,29834,20629,170027,91832,78195,206203,113650,92553,6524,3855,2669,6058,3185,2873,123,96,27,457,279,178,864,456,408,90,48,42,171,97,74,1
DAMAN & DIU,158204,92512,65692,57348,28906,28442,100856,63606,37250,141901,83569,58332,12281,6827,5454,3362,1729,1633,145,92,53,126,92,34,268,134,134,103,57,46,18,12,6,1
DELHI,13850507,7607234,6243273,12905780,7085147,5820633,944727,522087,422640,11358049,6249351,5108698,1623520,911006,712514,130319,62763,67556,555602,288675,266927,23705,12958,10747,155122,80150,74972,2174,1162,1012,2016,1169,847,7
GOA,1347668,687248,660420,670577,346703,323874,677091,340545,336546,886551,462186,424365,92210,49391,42819,359568,170680,188888,970,590,380,649,357,292,820,435,385,353,189,164,6547,3420,3127,2
GUJARAT,50671017,26385577,24285440,18930250,10067806,8862444,31740767,16317771,15422996,45143074,23538770,21604304,4592854,2370832,2222022,284092,142881,141211,45587,24987,20600,17829,9439,8390,525305,266768,258537,28698,14452,14246,33578,17448,16130,26
HARYANA,21144564,11363953,9780611,6115304,3310965,2804339,15029260,8052988,6976272,18655925,10041282,8614643,1222916,654040,568876,27185,14175,13010,1170662,618558,552104,7140,4004,3136,57167,29914,27253,1255,701,554,2314,1279,1035,10
HIMACHAL PRADESH,6077900,3087940,2989960,595581,331867,263714,5482319,2756073,2726246,5800222,2939150,2861072,119512,66173,53339,7687,4220,3467,72355,38118,34237,75859,39066,36793,1408,750,658,425,212,213,432,251,181,4
JAMMU & KASHMIR,10143700,5360926,4782774,2516638,1383274,1133364,7627062,3977652,3649410,3005349,1647533,1357816,6793240,3525446,3267794,20299,12733,7566,207154,114524,92630,113787,58610,55177,2518,1357,1161,97,51,46,1256,672,584,6
JHARKHAND,26945829,13885037,13060792,5993741,3205441,2788300,20952088,10679596,10272492,18475681,9582113,8893568,3731308,1924730,1806578,1093382,541703,551679,83358,45348,38010,5940,3151,2789,16301,8457,7844,3514472,1766245,1748227,25387,13290,12097,14
KARNATAKA,52850562,26898918,25951644,17961529,9249960,8711569,34889033,17648958,17240075,44321279,22549324,21771955,6463127,3302582,3160545,1009164,497205,511959,15326,8811,6515,393300,206227,187073,412659,214244,198415,115460,58715,56745,120247,61810,58437,28
KERALA,31841374,15468614,16372760,8266925,4017332,4249593,23574449,11451282,12123167,17883449,8690473,9192976,7863842,3776371,4087471,6057427,2981790,3075637,2762,1611,1151,2027,1081,946,4528,2268,2260,2256,1153,1103,25083,13867,11216,20
LAKSHADWEEP,60650,31131,29519,26967,13940,13027,33683,17191,16492,2221,1776,445,57903,28921,28982,509,422,87,6,6,0,1,0,1,0,0,0,0,0,0,10,6,4,1
MADHYA PRADESH,60348023,31443652,28904371,15967145,8412559,7554586,44380878,23031093,21349785,55004675,28685595,26319080,3841449,1991181,1850268,170381,85356,85025,150772,80122,70650,209322,107416,101906,545446,283359,262087,409285,201734,207551,16693,8889,7804,29
MAHARASHTRA,96878627,50400596,46478031,41100980,21941919,19159061,55777647,28458677,27318970,77859385,40496085,37363300,10270485,5437926,4832559,1058313,530975,527338,215337,117736,97601,5838710,2977607,2861103,1301843,670236,631607,236841,119113,117728,97713,50918,46795,48
MANIPUR,2166788,1095634,1071154,575968,286681,289287,1590820,808953,781867,996894,505108,491786,190939,96787,94152,737578,373173,364405,1653,1091,562,1926,1025,901,1461,793,668,235280,117106,118174,1057,551,506,2
MEGHALAYA,2318822,1176087,1142735,454111,229088,225023,1864711,946999,917712,307822,168517,139305,99169,52455,46714,1628986,812961,816025,3110,1810,1300,4703,2513,2190,772,405,367,267245,133899,133346,7015,3527,3488,2
MIZORAM,888573,459109,429464,441006,226383,214623,447567,232726,214841,31562,23528,8034,10099,7946,2153,772809,389155,383654,326,251,75,70494,36540,33954,179,103,76,2443,1231,1212,661,355,306,1
NAGALAND,1990036,1047141,942895,342787,187425,155362,1647249,859716,787533,153162,96808,56354,35005,21690,13315,1790349,922406,867943,1152,774,378,1356,761,595,2093,1130,963,6108,3150,2958,811,422,389,1
ORISSA,36804660,18660570,18144090,5517238,2911600,2605638,31287422,15748970,15538452,34726129,17615951,17110178,761985,391234,370751,897861,443245,454616,17492,9448,8044,9863,5180,4683,9154,4736,4418,361981,180156,181825,20195,10620,9575,21
PONDICHERRY,974345,486961,487384,648619,323258,325361,325726,163703,162023,845449,425459,419990,59358,28303,31055,67688,32214,35474,108,70,38,73,41,32,952,501,451,158,83,75,559,290,269,1
PUNJAB,24358999,12985045,11373954,8262511,4468449,3794062,16096488,8516596,7579892,8997942,4874765,4123177,382045,213023,169022,292800,154673,138127,14592387,7692776,6899611,41487,22171,19316,39276,20523,18753,8594,4655,3939,4468,2459,2009,13
RAJASTHAN,56507188,29420011,27087177,13214375,6993371,6221004,43292813,22426640,20866173,50151452,26122326,24029126,4788227,2482394,2305833,72660,36591,36069,818420,432534,385886,10335,5734,4601,650493,331871,318622,5253,2895,2358,10348,5666,4682,25
SIKKIM,540851,288484,252367,59870,32710,27160,480981,255774,225207,329548,177900,151648,7693,5346,2347,36115,18428,17687,1176,1061,115,152042,78191,73851,183,110,73,12926,6519,6407,1168,929,239,1
TAMIL NADU,62405679,31400909,31004770,27483998,13869415,13614583,34921681,17531494,17390187,54985079,27732367,27252712,3470647,1718511,1752136,3785060,1864044,1921016,9545,5515,4030,5393,2887,2506,83359,43114,40245,7252,3854,3398,59344,30617,28727,39
TRIPURA,3199203,1642225,1556978,545750,278587,267163,2653453,1363638,1289815,2739310,1405428,1333882,254442,130788,123654,102489,52815,49674,1182,1074,108,98922,50575,48347,477,249,228,1277,726,551,1104,570,534,2
UTTAR PRADESH,166197921,87565369,78632552,34539582,18407899,16131683,131658339,69157470,62500869,133979263,70756011,63223252,30740158,16028562,14711596,212578,108430,104148,678059,361320,316739,302031,159408,142623,207111,108350,98761,9281,4961,4320,69440,38327,31113,80
UTTARANCHAL,8489349,4325924,4163425,2179074,1181334,997740,6310275,3144590,3165685,7212260,3646560,3565700,1012141,539740,472401,27116,13833,13283,212025,111723,100302,12434,6992,5442,9249,4791,4458,770,437,333,3354,1848,1506,5
WEST BENGAL,80176197,41465985,38710212,22427251,11849976,10577275,57748946,29616009,28132937,58104835,30069503,28035332,20240543,10470406,9770137,515150,257337,257813,66391,36738,29653,243364,122877,120487,55223,28631,26592,895796,451334,444462,54895,29159,25736,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,1028610328,532156772,496453556,286119689,150554098,135565591,742490639,381602674,360887965,827578868,428678554,398900314,138188240,71374134,66814106,24080016,11984663,12095353,19215730,10152298,9063432,7955207,4074155,3881052,4225053,2177398,2047655,6639626,3332551,3307075,727588,383019,344569,543